"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2010",89.6,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2011",89.6,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2012",92.1,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2013",85,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",90.6,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2015",86.2,
"ISL","GRADRATE","UPPSRY","PC","A","2005",,"M"
"ISL","GRADRATE","UPPSRY","PC","A","2010",,"M"
"ISL","GRADRATE","UPPSRY","PC","A","2011",,"M"
"ISL","GRADRATE","UPPSRY","PC","A","2012",,"M"
"ISL","GRADRATE","UPPSRY","PC","A","2013",89.3,
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2010",,"M"
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2011",,"M"
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2013",78.8,
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2010",,"M"
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2011",,"M"
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2012",,"M"
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2013",99.9,
"IRL","GRADRATE","UPPSRY","PC","A","2005",92,
"IRL","GRADRATE","UPPSRY","PC","A","2010",85.9,
"IRL","GRADRATE","UPPSRY","PC","A","2011",89.7,
"IRL","GRADRATE","UPPSRY","PC","A","2012",93.5,
"IRL","GRADRATE","UPPSRY","PC","A","2013",97.9,
"IRL","GRADRATE","UPPSRY","PC","A","2014",,"M"
"IRL","GRADRATE","UPPSRY","PC","A","2015",103.8,
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2005",85.3,
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2010",84.5,
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2011",87.9,
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2012",92.2,
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2013",96.6,
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2015",102.4,
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2005",98.9,
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2010",87.4,
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2011",91.6,
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2012",94.9,
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2013",99.3,
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2015",105.4,
"ITA","GRADRATE","UPPSRY","PC","A","2005",84.6,
"ITA","GRADRATE","UPPSRY","PC","A","2010",84.5,
"ITA","GRADRATE","UPPSRY","PC","A","2011",80,
"ITA","GRADRATE","UPPSRY","PC","A","2012",88.1,
"ITA","GRADRATE","UPPSRY","PC","A","2013",87.2,
"ITA","GRADRATE","UPPSRY","PC","A","2014",93,
"ITA","GRADRATE","UPPSRY","PC","A","2015",92.4,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2005",82.9,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2010",82.2,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2011",77,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2012",86.1,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2013",85,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2014",91.7,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2015",91.3,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2005",86.5,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2010",87,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2011",83.2,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2012",90.2,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2013",89.5,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2014",94.4,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2015",93.5,
"JPN","GRADRATE","UPPSRY","PC","A","2005",,"M"
"JPN","GRADRATE","UPPSRY","PC","A","2010",95,
"JPN","GRADRATE","UPPSRY","PC","A","2011",94.8,
"JPN","GRADRATE","UPPSRY","PC","A","2012",,"M"
"JPN","GRADRATE","UPPSRY","PC","A","2013",97.2,
"JPN","GRADRATE","UPPSRY","PC","A","2014",96.7,
"JPN","GRADRATE","UPPSRY","PC","A","2015",97.7,
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2010",94.3,
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2011",94,
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2013",96.1,
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2014",95.7,
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2015",96.8,
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2010",95.8,
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2011",95.6,
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2012",,"M"
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2013",98.5,
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",97.7,
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2015",98.5,
"KOR","GRADRATE","UPPSRY","PC","A","2005",94.3,
"KOR","GRADRATE","UPPSRY","PC","A","2010",91.9,
"KOR","GRADRATE","UPPSRY","PC","A","2011",92.6,
"KOR","GRADRATE","UPPSRY","PC","A","2012",92.1,
"KOR","GRADRATE","UPPSRY","PC","A","2013",92.3,
"KOR","GRADRATE","UPPSRY","PC","A","2014",92.8,
"KOR","GRADRATE","UPPSRY","PC","A","2015",93,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2005",94.4,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2010",91.4,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2011",92,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2012",92.2,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2013",92.2,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2014",92.8,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2015",93.6,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2005",94.3,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2010",92.4,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2011",93.3,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2012",92,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2013",92.4,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2014",92.7,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2015",92.4,
"LUX","GRADRATE","UPPSRY","PC","A","2005",73.7,
"LUX","GRADRATE","UPPSRY","PC","A","2010",69.7,
"LUX","GRADRATE","UPPSRY","PC","A","2011",70.3,
"LUX","GRADRATE","UPPSRY","PC","A","2012",68.8,
"LUX","GRADRATE","UPPSRY","PC","A","2013",72.9,
"LUX","GRADRATE","UPPSRY","PC","A","2014",73.9,
"LUX","GRADRATE","UPPSRY","PC","A","2015",75,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2005",67.5,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2010",66.5,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2011",66.8,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2012",65.6,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2013",69.3,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2014",73.1,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2015",71.8,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2005",80.4,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2010",73.2,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2011",74,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2012",72.3,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2013",76.8,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2014",74.7,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2015",78.5,
"MEX","GRADRATE","UPPSRY","PC","A","2005",40.2,
"MEX","GRADRATE","UPPSRY","PC","A","2010",45.2,
"MEX","GRADRATE","UPPSRY","PC","A","2011",46.5,
"MEX","GRADRATE","UPPSRY","PC","A","2012",47.6,
"MEX","GRADRATE","UPPSRY","PC","A","2013",51.2,
"MEX","GRADRATE","UPPSRY","PC","A","2014",51.3,
"MEX","GRADRATE","UPPSRY","PC","A","2015",56.3,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2005",37.5,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2010",42.1,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2011",43.7,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2012",45.1,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2013",48.5,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2014",49,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2015",53.7,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2005",42.8,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2010",48.4,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2011",49.3,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2012",50.1,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2013",53.9,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2014",53.7,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2015",58.9,
"NLD","GRADRATE","UPPSRY","PC","A","2005",,"M"
"NLD","GRADRATE","UPPSRY","PC","A","2010",,"M"
"NLD","GRADRATE","UPPSRY","PC","A","2011",90.7,
"NLD","GRADRATE","UPPSRY","PC","A","2012",93.3,
"NLD","GRADRATE","UPPSRY","PC","A","2013",,"M"
"NLD","GRADRATE","UPPSRY","PC","A","2014",94.8,
"NLD","GRADRATE","UPPSRY","PC","A","2015",93.3,
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2010",,"M"
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2011",86.2,
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2012",90.2,
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2013",,"M"
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2014",90.5,
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2015",89.3,
"NLD","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"NLD","GRADRATE","UPPSRY_WOMEN","PC","A","2010",,"M"
"NLD","GRADRATE","UPPSRY_WOMEN","PC","A","2011",95.5,
"NLD","GRADRATE","UPPSRY_WOMEN","PC","A","2012",96.6,
"NLD","GRADRATE","UPPSRY_WOMEN","PC","A","2013",,"M"
"NLD","GRADRATE","UPPSRY_WOMEN","PC","A","2014",99.3,
